"ID","Registry name","Biome name","temp.","temp cat","rain","snow","oceanic","BiomeType","BiomeDictionary.Type","Valid for"
199,"environs:tall_oak_wetland","Tall Oak Wetland",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP","spawn, stronghold"
200,"environs:roofed_swamp","Roofed Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP","spawn, stronghold"
201,"environs:mushroom_rainforest","Mushroom Rainforest",0.50,"MEDIUM",0.50,"false","false","WARM","FOREST, LUSH","spawn, stronghold"
202,"environs:overgrown_plains","Overgrown Plains",0.95,"MEDIUM",0.50,"false","false","WARM","LUSH, PLAINS","spawn, stronghold, village"
203,"environs:kakadu","Kakadu",0.80,"MEDIUM",0.80,"false","false","WARM","JUNGLE, LUSH, PLAINS","spawn, stronghold, village"
204,"environs:lush_forest","Lush Forest",0.95,"MEDIUM",0.95,"false","false","WARM","DENSE, FOREST, JUNGLE, WET","spawn, stronghold"
205,"environs:wasteland_spikes","Wasteland Spikes",2.00,"WARM",0.00,"false","false","DESERT","DEAD","spawn, stronghold, village"
206,"environs:wasteland_eroded","Eroded Wasteland",2.00,"WARM",0.00,"false","false","DESERT","DEAD","spawn, stronghold, village"
207,"environs:dry_oak_forest","Dry Oak Forest",2.00,"WARM",0.00,"false","false","DESERT","DEAD, FOREST","spawn, stronghold"
208,"environs:dry_oak_forest_m","Dry Oak Forest M",2.00,"WARM",0.00,"false","false","DESERT","DEAD, FOREST","spawn, stronghold"
209,"environs:sandstone_ranges","Sandstone Ranges",0.80,"MEDIUM",0.50,"false","false","DESERT","DRY, SANDY","spawn, stronghold, village"
210,"environs:canyon","Canyon",1.00,"WARM",0.30,"false","false","DESERT","DRY","spawn, stronghold"
211,"environs:icy_hills","Icy Hills",-0.50,"COLD",0.50,"true","false","ICY","COLD, CONIFEROUS","spawn, stronghold, village"
212,"environs:cold_pine_taiga","Cold Pine Taiga",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS","spawn, stronghold"
213,"environs:cold_pine_taiga_m","Cold Pine Taiga M",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS","spawn, stronghold"
214,"nt:aegean_archipelago","Aegean Archipelago",0.50,"WARM",0.30,"false","false","WARM","OCEAN, WATER","spawn, stronghold"
215,"nt:alium_meadow","Alium Meadow",0.80,"MEDIUM",0.40,"false","false","WARM","MAGICAL, PLAINS, RARE","spawn, stronghold, village"
216,"nt:autumn_forest","Autumn Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village"
217,"nt:autumn_forest_hills","Autumn Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
218,"nt:birch_hills","Birch Hills",0.80,"MEDIUM",0.40,"false","false","WARM","HILLS","spawn, stronghold, village"
219,"nt:blossom_forest","Blossom Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold, village"
220,"nt:blossom_forest_hills","Blossom Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold"
221,"nt:estuary","Estuary",0.80,"MEDIUM",0.90,"false","false","WARM","RIVER, SWAMP, WATER","spawn, stronghold"
222,"nt:fen","Fen",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP, WET","spawn, stronghold"
223,"nt:fungal_jungle","Fungal Jungle",0.95,"MEDIUM",0.90,"false","false","WARM","JUNGLE, MAGICAL, MUSHROOM, RARE","spawn, stronghold, village"
224,"nt:fungal_jungle_hills","Fungal Jungle Hills",0.95,"MEDIUM",0.90,"false","false","WARM","JUNGLE, MAGICAL, MUSHROOM, RARE","spawn, stronghold"
225,"nt:grass_hills","Grass Hills",0.20,"MEDIUM",0.30,"false","false","WARM","PLAINS","spawn, stronghold, village"
226,"nt:green_mixed_forest","Green Mixed Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village"
227,"nt:green_mixed_forest_hills","Green Mixed Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
228,"nt:green_swamp","Green Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP","spawn, stronghold"
229,"nt:heath","Heath",0.90,"MEDIUM",0.50,"false","false","WARM","PLAINS, SAVANNA","spawn, stronghold, village"
230,"nt:highland","Highland",0.70,"MEDIUM",0.20,"false","false","WARM","HILLS","spawn, stronghold, village"
231,"nt:hills","Hills",0.70,"MEDIUM",0.30,"false","false","WARM","HILLS","spawn, stronghold, village"
232,"nt:hotspring","Hot Spring",1.00,"WARM",0.50,"false","false","WARM","WET","spawn, stronghold"
233,"nt:lake","Lake",0.80,"MEDIUM",0.40,"false","false","WARM","CONIFEROUS, WATER","spawn, stronghold"
234,"nt:lowland","Lowland",0.40,"MEDIUM",1.00,"false","false","WARM","CONIFEROUS, WET","spawn, stronghold"
235,"nt:meadow","Meadow",0.80,"MEDIUM",0.40,"false","false","WARM","PLAINS","spawn, stronghold, village"
236,"nt:mixed_forest","Mixed Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village"
237,"nt:mixed_forest_hills","Mixed Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
238,"nt:monsoon_forest","Monsoon Forest",0.95,"MEDIUM",2.00,"false","false","WARM","JUNGLE, RARE, WET","spawn, stronghold"
239,"nt:moorland","Moorland",0.47,"MEDIUM",1.50,"false","false","WARM","HILLS","spawn, stronghold, village"
240,"nt:mountains","Mountains",0.20,"MEDIUM",0.30,"false","false","WARM","MOUNTAIN","spawn, stronghold, village"
241,"nt:oak_forest","Oak Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village"
242,"nt:oak_forest_hills","Oak Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
243,"nt:poppy_meadow","Poppy Meadow",0.80,"MEDIUM",0.40,"false","false","WARM","MAGICAL, PLAINS, RARE","spawn, stronghold, village"
244,"nt:royal_forest","Royal Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold, village"
245,"nt:royal_forest_hills","Royal Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold"
246,"nt:tall_oak_forest","Tall Oak Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village"
247,"nt:tall_oak_forest_hills","Tall Oak Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
248,"nt:white_orchard","White Orchard",1.00,"WARM",0.40,"false","false","WARM","PLAINS","spawn, stronghold, village"
249,"nt:pink_beach","Pink Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
250,"nt:purple_beach","Purple Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
251,"nt:orange_beach","Orange Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
252,"nt:white_beach","White Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
253,"nt:black_beach","Black Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
254,"nt:iron_beach","Iron Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
255,"nt:olivine_beach","Olivine Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
256,"nt:brown_beach","Brown Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold"
257,"nt:autumn_taiga","Autumn Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
258,"nt:autumn_taiga_hills","Autumn Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold"
259,"nt:blue_taiga","Blue Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
260,"nt:blue_taiga_hills","Blue Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold"
261,"nt:cliffs","Cliffs",0.70,"MEDIUM",0.30,"false","false","COOL","CONIFEROUS, MOUNTAIN","spawn, stronghold"
262,"nt:stone_fields","Stone Fields",0.25,"MEDIUM",0.80,"false","false","COOL","PLAINS","spawn, stronghold, village"
263,"nt:maple_forest","Maple Forest",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
264,"nt:maple_forest_hills","Maple Forest Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold"
265,"nt:mega_autumn_taiga","Mega Autumn Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold, village"
266,"nt:mega_autumn_taiga_hills","Mega Autumn Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold"
267,"nt:mega_blue_taiga","Mega Blue Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold, village"
268,"nt:mega_blue_taiga_hills","Mega Blue Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold"
269,"nt:mega_maple_forest","Mega Maple Forest",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold, village"
270,"nt:mega_maple_forest_hills","Mega Maple Forest Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold"
271,"nt:pineland","Pineland",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, HILLS","spawn, stronghold, village"
272,"nt:rocky_taiga","Rocky Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
273,"nt:shrubland","Shrubland",0.80,"MEDIUM",0.40,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
274,"nt:stone_mountains","Stone Mountains",0.20,"MEDIUM",0.30,"false","false","COOL","MOUNTAIN","spawn, stronghold"
275,"nt:clayland","Clayland",0.90,"MEDIUM",0.30,"false","false","DESERT","SAVANNA","spawn, stronghold, village"
276,"nt:lush_desert","Lush Desert",0.95,"MEDIUM",0.90,"false","false","DESERT","JUNGLE, LUSH, SAVANNA","spawn, stronghold, village"
277,"nt:red_sand_dune","Red Sand Dune",2.00,"WARM",0.00,"false","false","DESERT","SANDY","spawn, stronghold, village"
278,"nt:rockland","Rockland",0.90,"MEDIUM",0.30,"false","false","DESERT","SAVANNA","spawn, stronghold, village"
279,"nt:sahel","Sahel",0.90,"MEDIUM",1.00,"false","false","DESERT","SANDY","spawn, stronghold, village"
280,"nt:sand_dune","Sand Dune",2.00,"WARM",0.00,"false","false","DESERT","SANDY","spawn, stronghold, village"
281,"nt:sandy_mountains","Sandy Mountains",2.00,"WARM",0.00,"false","false","DESERT","MOUNTAIN, SANDY","spawn, stronghold"
282,"nt:scrubland","Scrubland",1.20,"WARM",0.00,"false","false","DESERT","SAVANNA","spawn, stronghold, village"
283,"nt:tropical_desert","Tropical Desert",0.95,"MEDIUM",1.00,"false","false","DESERT","JUNGLE, LUSH, SAVANNA","spawn, stronghold, village"
284,"nt:alps","Alps",0.20,"MEDIUM",0.30,"false","false","ICY","CONIFEROUS, MOUNTAIN, SNOWY","spawn, stronghold, village"
285,"nt:cold_birch_forest","Cold Birch Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village"
286,"nt:cold_birch_forest_hills","Cold Birch Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold"
287,"nt:cold_blue_taiga","Cold Blue Taiga",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, SNOWY","spawn, stronghold, village"
288,"nt:cold_blue_taiga_hills","Cold Blue Taiga Hills",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, SNOWY","spawn, stronghold"
289,"nt:cold_desert","Cold Desert",-2.00,"COLD",0.80,"true","false","ICY","COLD","spawn, stronghold, village"
290,"nt:cold_flower_forest","Cold Flower Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village"
291,"nt:cold_flower_forest_hills","Cold Flower Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold"
292,"nt:cold_forest","Cold Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village"
293,"nt:cold_forest_hills","Cold Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold"
294,"nt:cold_mega_blue_taiga","Cold Mega Blue Taiga",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold, village"
295,"nt:cold_mega_blue_taiga_hills","Cold Mega Blue Taiga Hills",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold"
296,"nt:cold_mega_spruce_taiga","Cold Mega Spruce Taiga",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold, village"
297,"nt:cold_mega_spruce_taiga_hills","Cold Mega Spruce Taiga Hills",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold"
298,"nt:cold_mega_taiga","Cold Mega Taiga",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold, village"
299,"nt:cold_mega_taiga_hills","Cold Mega Taiga Hills",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold"
300,"nt:cold_roofed_forest","Cold Roofed Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village"
301,"nt:cold_roofed_forest_hills","Cold Roofed Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold"
302,"nt:glacier","Glacier",0.00,"COLD",0.50,"false","false","ICY","COLD, SNOWY","spawn, stronghold"
303,"nt:icy_tundra","Icy Tundra",-1.00,"COLD",0.50,"true","false","ICY","COLD, SNOWY","spawn, stronghold"
304,"nt:snowdune","Snow Dune",0.00,"COLD",0.50,"false","false","ICY","COLD, SNOWY","spawn, stronghold"
305,"nt:tundra","Tundra",0.20,"MEDIUM",0.50,"false","false","ICY","COLD","spawn, stronghold, village"
306,"traverse:autumnal_woods","Autumnal Woods",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST","spawn, stronghold"
307,"traverse:woodlands","Woodlands",0.80,"MEDIUM",0.40,"false","false","WARM","PLAINS","spawn, stronghold, village"
308,"traverse:mini_jungle","Mini Jungle",0.95,"MEDIUM",0.90,"false","false","WARM","DENSE, HOT, JUNGLE, WET","spawn"
309,"traverse:meadow","Meadow",0.80,"MEDIUM",0.70,"false","false","COOL","LUSH, PLAINS, WET","spawn, stronghold, village"
310,"traverse:green_swamp","Lush Swamp",0.80,"MEDIUM",0.50,"false","false","WARM","LUSH, SWAMP, WET","spawn"
311,"traverse:red_desert","Red Desert",2.00,"WARM",0.00,"false","false","DESERT","DRY, HOT, SANDY","spawn, stronghold, village"
312,"traverse:temperate_rainforest","Temperate Rainforest",0.60,"MEDIUM",0.90,"false","false","COOL","CONIFEROUS, FOREST","spawn, stronghold"
313,"traverse:badlands","Badlands",0.60,"MEDIUM",0.10,"false","false","WARM","DRY, HOT, PLAINS, SPARSE","spawn, stronghold, village"
314,"traverse:mountainous_desert","Mountainous Desert",2.00,"WARM",0.00,"false","false","DESERT","DRY, HOT, MOUNTAIN, SANDY","spawn, stronghold"
315,"traverse:rocky_plateau","Rocky Plateau",0.80,"MEDIUM",0.20,"false","false","WARM","HOT, MOUNTAIN","spawn, stronghold, village"
316,"traverse:forested_hills","Forested Hills",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST, HILLS","spawn, stronghold"
317,"traverse:birch_forested_hills","Birch Forested Hills",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST, HILLS","spawn, stronghold"
318,"traverse:autumnal_wooded_hills","Autumnal Wooded Hills",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST, HILLS","spawn, stronghold"
319,"traverse:cliffs","Cliffs",0.40,"MEDIUM",1.20,"false","false","COOL","COLD, HILLS, MOUNTAIN","spawn, stronghold"
320,"traverse:glacier","Glacier",0.00,"COLD",0.50,"true","false","ICY","COLD, MOUNTAIN, SNOWY","spawn, stronghold"
321,"traverse:glacier_spikes","Glacier Spikes",0.00,"COLD",0.50,"true","false","ICY","COLD, MOUNTAIN, SNOWY","spawn, stronghold"
322,"traverse:snowy_coniferous_forest","Snowy Coniferous Forest",0.00,"COLD",0.50,"true","false","ICY","COLD, CONIFEROUS, FOREST, SNOWY","spawn, stronghold"
323,"traverse:lush_hills","Lush Hills",0.50,"MEDIUM",0.80,"false","false","COOL","HILLS, LUSH, SPARSE, WET","spawn, stronghold, village"
324,"traverse:desert_shrubland","Desert Shrubland",2.00,"WARM",0.00,"false","false","DESERT","DEAD, DRY, HOT, SANDY","spawn, stronghold, village"
325,"traverse:thicket","Thicket",0.80,"MEDIUM",0.30,"false","false","WARM","DENSE, FOREST","spawn, stronghold"
326,"traverse:arid_highland","Arid Highland",2.00,"WARM",0.00,"false","false","DESERT","DRY, HILLS, HOT, MOUNTAIN, SPARSE","spawn, stronghold, village"
327,"traverse:rocky_plains","Rocky Plains",0.90,"MEDIUM",0.70,"false","false","COOL","HILLS, PLAINS, SPARSE","spawn, stronghold, village"
328,"rats:ratlantis","ratlantis",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, JUNGLE, WET","stronghold"
329,"spookybiomes:sorbus_forest","Sorbus Forest",0.25,"MEDIUM",0.90,"false","false","WARM","FOREST, HILLS, WET","spawn, stronghold"
330,"spookybiomes:ghostly_forest","Ghostly Forest",0.25,"MEDIUM",0.90,"false","false","COOL","DEAD, FOREST, HILLS, WET","spawn, stronghold"
331,"spookybiomes:seeping_forest","Seeping Forest",0.25,"MEDIUM",0.90,"false","false","WARM","HILLS, WET","spawn, stronghold"
332,"spookybiomes:bloodied_hills","Bloodied Hills",0.50,"MEDIUM",0.50,"false","false","WARM","FOREST, HILLS, WET","spawn, stronghold"
333,"aether_legacy:aether_highlands","Aether",0.50,"MEDIUM",0.00,"false","false","","COLD, MAGICAL, VOID","stronghold"
334,"jeid:error_biome","A mod doesn't support extended biome IDs -- report to REID",0.50,"MEDIUM",0.50,"false","false","","PLAINS","stronghold"
335,"stygian:stygian_growth","Stygian Growth",0.50,"MEDIUM",0.50,"false","false","","DENSE, END, FOREST","stronghold"
336,"stygian:acidic_plains","Acidic Plains",0.50,"MEDIUM",0.50,"false","false","","DRY, END, WASTELAND","stronghold"
337,"stygian:lunar_meadow","Lunar Meadow",0.50,"MEDIUM",0.50,"false","false","","END, MAGICAL, PLAINS","stronghold"
338,"stygian:algea_desert","Algea Desert",0.50,"MEDIUM",0.50,"false","false","","END, WASTELAND","stronghold"
339,"stygian:bacterial_valley","Bacterial Valley",0.50,"MEDIUM",0.00,"false","false","","DEAD, END, WASTELAND","stronghold"
340,"nb:crimson_forest","Crimson Forest",2.00,"WARM",0.50,"false","false","","HOT, NETHER","stronghold"
341,"nb:warped_forest","Warped Forest",2.00,"WARM",0.50,"false","false","","HOT, NETHER","stronghold"
342,"nb:soul_sand_valley","Soul Sand Valley",2.00,"WARM",0.50,"false","false","","DRY, HOT, NETHER","stronghold"
343,"nb:basalt_deltas","Basalt Deltas",2.00,"WARM",0.50,"false","false","","HOT, MOUNTAIN, NETHER","stronghold"
344,"explorercraft:bamboo_forest","Bamboo Forest",0.90,"MEDIUM",1.00,"false","false","COOL","DENSE, FOREST, WET","spawn, stronghold, village"
345,"explorercraft:forested_mountain","Forested Mountain",0.50,"MEDIUM",0.50,"false","false","WARM","FOREST, MOUNTAIN","spawn, stronghold"
346,"explorercraft:snowdonia","Snowdonia",0.50,"MEDIUM",1.00,"false","false","COOL","HILLS, MOUNTAIN, WET","spawn, stronghold"
347,"ee:ash_wastelands","Ash Wastelands",0.80,"MEDIUM",0.50,"false","false","","END","stronghold"
