"Class","Command","Aliases","Usage"
"net.smileycorp.raids.common.command.CommandSpawnPatrol","spawnPatrol","","commands.raids.RaidsDebug.usage"
"net.smileycorp.traders.common.CommandSpawnTrader","spawnTrader","","/spawnTrader <player>"
"net.theawesomegem.blockdropstweaker.common.command.BlockDropsCommand","blockdrops","bd, bdrop, bdrops","commands.blockdropstweaker.blockdrops.usage"
"net.theawesomegem.blockdropstweaker.common.command.BlockDropsCommand","blockdrops","bd, bdrop, bdrops","commands.blockdropstweaker.blockdrops.usage"
"net.theawesomegem.blockdropstweaker.common.command.BlockDropsCommand","blockdrops","bd, bdrop, bdrops","commands.blockdropstweaker.blockdrops.usage"
"net.theawesomegem.blockdropstweaker.common.command.BlockDropsCommand","blockdrops","bd, bdrop, bdrops","commands.blockdropstweaker.blockdrops.usage"
"net.theawesomegem.fishingmadebetter.common.command.FishingCommand","fishing","","List of available Fishing Made Better commands"
"net.torocraft.toroquest.ToroQuestCommand","tq","","commands.torogen.usage"
"net.xalcon.torchmaster.common.commands.CommandTorchmasterEntityDump","torchmaster_entity_dump","","/torchmaster_entity_dump"
"net.xalcon.torchmaster.common.commands.CommandTorchmasterTorchList","torchmaster_torch_list","","/torchmaster_torch_list"
"org.dave.bonsaitrees.command.CommandBonsaiTrees","bonsaitrees","","/bonsaitrees [subcommand, leave empty for list of commands]"
"org.orecruncher.dsurround.commands.CommandDS","ds","dsurround, rain","§6/ds help§9 -- Help for Dynamic Surroundings"
"org.orecruncher.dsurround.commands.CommandDS","ds","dsurround, rain","§6/ds help§9 -- Help for Dynamic Surroundings"
"org.orecruncher.dsurround.commands.CommandDS","ds","dsurround, rain","§6/ds help§9 -- Help for Dynamic Surroundings"
"paulevs.betternether.commands.CommandFindCity","findNetherCity","","/findNetherCity or /findNetherCity x y z"
"pl.asie.stackup.CommandStackUp","stackup","","/stackup [reload]"
"pregenerator.impl.commands.base.PregenCommands","pregen","","/pregen allows you to Generate/Delete/Scan/Track worlds"
"prospector.traverse.commands.CommandFindBiome","findbiome","","/findbiome <biome>"
"rtg.server.RTGCommandTree","rtg","","§r/§rrtg whereami§r§r"
"silly511.backups.commands.BackupsModCommand","backupsmod","bm","/backupsmod <backup|lastbackup|restore> ..."
"silly511.backups.commands.BackupsModCommand","backupsmod","bm","/backupsmod <backup|lastbackup|restore> ..."
"squeek.applecore.commands.CommandHunger","hunger","","/hunger [player] <value>"
"team.cqr.cqrepoured.command.CommandChangeReputation","cqr_set_reputation","","/cqr_set_reputation faction reputation"
"team.cqr.cqrepoured.command.CommandDeleteProtectedRegion","cqr_delete_protected_region","","/cqr_delete_protected_region x y z"
"team.cqr.cqrepoured.command.CommandExport","cqr_export_all","","/cqr_export_all [override_files]"
"team.cqr.cqrepoured.command.CommandGetProtectedRegion","cqr_get_protected_region","","/cqr_get_protected_region x y z"
"team.cqr.cqrepoured.command.CommandImport","cqr_import_all","","/cqr_import_all"
"team.cqr.cqrepoured.command.CommandLocateDungeon","cqr_locate_dungeon","","/cqr_locate_dungeon x z chunkRadius [generatedDungeon] [notGeneratedDungeon] [dungeonName]"
"treechopper.common.command.TCHCommand","treechopper","tch","Type ""/tch help"" for help"
"treechopper.common.command.TCHCommand","treechopper","tch","Type ""/tch help"" for help"
"tschipp.carryon.common.command.CommandCarryOn","carryon","carryon","/carryon <mode>"
"tschipp.carryon.common.command.CommandCarryOnReload","reloadscripts","","/reloadscripts"
"vazkii.quark.base.command.CommandConfig","quark-config","quarkconfig","/quark-config <category> <key> <value> [player] [save?]"
"vazkii.quark.base.command.CommandConfig","quark-config","quarkconfig","/quark-config <category> <key> <value> [player] [save?]"
"wiresegal.classyhats.command.CommandChangeHat","replacehat","","/replacehat <player> <equipped|page> ..."
"xzeroair.trinkets.commands.CommandMain","Trinkets and Baubles","xat","/xat <PLAYER> <Mana | Race> <ARG>"
"xzeroair.trinkets.commands.CommandMain","Trinkets and Baubles","xat","/xat <PLAYER> <Mana | Race> <ARG>"
"zabi.minecraft.minerva.common.mod.Minerva$1","ea-medal","mv-medal","/mv-medal"
"zabi.minecraft.minerva.common.mod.Minerva$1","ea-medal","mv-medal","/mv-medal"
