"ID","Registry name","Biome name","temp.","temp cat","rain","snow","oceanic","BiomeType","BiomeDictionary.Type","Valid for","waterColorMultiplier","grassColorMultiplier","foliageColorMultiplier"
116,"pvj:willow_swamp","Willow Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","LUSH, SWAMP, WET","spawn","0x00253BA6 (   2440102)","0xFF6AC44E (  -9780146)","0xFF45B421 ( -12209119)"
117,"pvj:boreal_forest","Boreal Forest",0.25,"MEDIUM",0.80,"false","false","COOL","COLD, CONIFEROUS, FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
118,"pvj:snowy_boreal_forest","Snowy Boreal Forest",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS, FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
119,"pvj:aspen_grove","Aspen Grove",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
120,"pvj:overgrown_spires","Overgrown Spires",0.95,"MEDIUM",0.90,"false","false","WARM","FOREST, JUNGLE","spawn, stronghold","0x003F76E4 (   4159204)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
121,"pvj:blossoming_fields","Blossoming Fields",0.50,"MEDIUM",0.55,"false","false","COOL","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF8CBA70 (  -7554448)","0xFF6FA74C (  -9459892)"
122,"ancientspellcraft:pocket","pocket",0.20,"MEDIUM",0.50,"false","false","","MAGICAL","stronghold","0x00003BF4 (     15348)","0xFF88B688 (  -7817592)","0xFF6BA36A (  -9723030)"
123,"nether_api:betternether_netherbiome","Empty Nether",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
124,"nether_api:betternether_netherbiomegraveldesert","Gravel Desert",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
125,"nether_api:betternether_netherbiomejungle","Nether Jungle",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
126,"nether_api:betternether_netherwartforest","Wart Forest",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
127,"minecraft:void","The Void",0.50,"MEDIUM",0.50,"false","false","","VOID","stronghold","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
128,"nether_api:betternether_nethergrasslands","Nether Grasslands",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
129,"minecraft:mutated_plains","Sunflower Plains",0.80,"MEDIUM",0.40,"false","false","","PLAINS, RARE","stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
130,"minecraft:mutated_desert","Desert M",2.00,"WARM",0.00,"false","false","","DRY, HOT, RARE, SANDY","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
131,"minecraft:mutated_extreme_hills","Extreme Hills M",0.24,"MEDIUM",0.30,"false","false","","MOUNTAIN, RARE, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF8CB685 (  -7555451)","0xFF6FA367 (  -9460889)"
132,"minecraft:mutated_forest","Flower Forest",0.70,"MEDIUM",0.80,"false","false","","FOREST, HILLS, RARE","stronghold, village","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
133,"minecraft:mutated_taiga","Taiga M",0.25,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE","stronghold","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
134,"minecraft:mutated_swampland","Swampland M",0.80,"MEDIUM",0.90,"false","false","","HILLS, RARE, SWAMP, WET","","0x00617B64 (   6388580)","0xFF6AC44E (  -9780146)","0xFF45B421 ( -12209119)"
135,"nether_api:betternether_nethermushroomforest","Nether Mushroom Forest",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
136,"nether_api:betternether_nethermushroomforestedge","Nether Mushroom Forest Edge",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
137,"nether_api:betternether_netherwartforestedge","Nether Wart Forest Edge",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
138,"nether_api:betternether_netherbonereef","Bone Reef",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
139,"nether_api:betternether_netherpoorgrasslands","Poor Nether Grasslands",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
140,"minecraft:mutated_ice_flats","Ice Plains Spikes",0.00,"COLD",0.50,"true","false","","COLD, HILLS, RARE, SNOWY","stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
141,"betterendforge:megalake","Megalake",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001025F4 (   1058292)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
142,"betterendforge:crystal_mountains","Crystal Mountains",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
143,"betterendforge:foggy_mushroomland","Foggy Mushroomland",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001434EF (   1324271)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
144,"betterendforge:dust_wastelands","Dust Wastelands",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x0020297D (   2107773)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
145,"betterendforge:chorus_forest","Chorus Forest",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000C0645 (    788037)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
146,"betterendforge:shadow_forest","Shadow Forest",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x00070A4C (    461388)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
147,"betterendforge:blossoming_spires","Blossoming Spires",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
148,"betterendforge:sulphur_springs","Sulphur Springs",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x0024242D (   2368557)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
149,"minecraft:mutated_jungle","Jungle M",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET","stronghold","0x003F76E4 (   4159204)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
150,"betterendforge:amber_land","Amber Land",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
151,"minecraft:mutated_jungle_edge","JungleEdge M",0.95,"MEDIUM",0.80,"false","false","","HILLS, HOT, JUNGLE, RARE, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF64C73F ( -10172609)","0xFF3EB80F ( -12666865)"
152,"betterendforge:umbrella_jungle","Umbrella Jungle",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x00142DF2 (   1322482)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
153,"betterendforge:glowing_grasslands","Glowing Grasslands",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000F39DC (    997852)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
154,"betterendforge:dragon_graveyards","Dragon Graveyards",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
155,"minecraft:mutated_birch_forest","Birch Forest M",0.60,"MEDIUM",0.60,"false","false","","DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
156,"minecraft:mutated_birch_forest_hills","Birch Forest Hills M",0.60,"MEDIUM",0.60,"false","false","","DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
157,"minecraft:mutated_roofed_forest","Roofed Forest M",0.70,"MEDIUM",0.80,"false","false","","DENSE, FOREST, MOUNTAIN, RARE, SPOOKY","stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
158,"minecraft:mutated_taiga_cold","Cold Taiga M",-0.50,"COLD",0.40,"true","false","","COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY","stronghold","0x003D57D6 (   4020182)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
159,"betterendforge:lantern_woods","Lantern Woods",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001C36D8 (   1849048)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
160,"minecraft:mutated_redwood_taiga","Mega Spruce Taiga",0.25,"MEDIUM",0.80,"false","false","","DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
161,"minecraft:mutated_redwood_taiga_hills","Redwood Taiga Hills M",0.25,"MEDIUM",0.80,"false","false","","DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
162,"minecraft:mutated_extreme_hills_with_trees","Extreme Hills+ M",0.24,"MEDIUM",0.30,"false","false","","MOUNTAIN, RARE, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF8CB685 (  -7555451)","0xFF6FA367 (  -9460889)"
163,"minecraft:mutated_savanna","Savanna M",1.10,"WARM",0.00,"false","false","","DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
164,"minecraft:mutated_savanna_rock","Savanna Plateau M",1.00,"WARM",0.00,"false","false","","DRY, HILLS, HOT, RARE, SAVANNA, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
165,"minecraft:mutated_mesa","Mesa (Bryce)",2.00,"WARM",0.00,"false","false","","DRY, HOT, MOUNTAIN, RARE, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
166,"minecraft:mutated_mesa_rock","Mesa Plateau F M",2.00,"WARM",0.00,"false","false","","DRY, HILLS, HOT, RARE, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
167,"minecraft:mutated_mesa_clear_rock","Mesa Plateau M",2.00,"WARM",0.00,"false","false","","DRY, HOT, MOUNTAIN, RARE, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
168,"betterendforge:dry_shrubland","Dry Shrubland",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x00131432 (   1250354)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
169,"betterendforge:umbra_valley","Umbra Valley",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
170,"betterendforge:ice_starfield","Ice Starfield",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
171,"betterendforge:empty_end_cave","Empty End Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
172,"betterendforge:empty_smaragdant_cave","Empty Smaragdant Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000526CA (    337610)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
173,"betterendforge:lush_smaragdant_cave","Lush Smaragdant Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000526CA (    337610)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
174,"betterendforge:empty_aurora_cave","Empty Aurora Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001F11E2 (   2036194)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
175,"betterendforge:lush_aurora_cave","Lush Aurora Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001F11E2 (   2036194)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
176,"betterendforge:end_cave","End Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
177,"betterendforge:jade_cave","Jade Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x000A1BDA (    662490)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
178,"betterendforge:megalake_grove","Megalake Grove",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001025F4 (   1058292)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
179,"betterendforge:painted_mountains","Painted Mountains",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x0020297D (   2107773)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
180,"betterendforge:neon_oasis","Neon Oasis",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold","0x001137CD (   1128397)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
181,"iceandfire:glacier","Glacier",0.00,"COLD",0.50,"true","false","COOL","COLD, DEAD, SNOWY, SPARSE, WASTELAND","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
182,"defiledlands:desert_defiled","Defiled Desert",2.00,"WARM",0.00,"false","false","DESERT","DRY, HOT, SANDY, SPOOKY","stronghold","0x006B5B68 (   7035752)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
183,"defiledlands:plains_defiled","Defiled Plains",0.80,"MEDIUM",0.40,"false","false","WARM","PLAINS, SPOOKY","stronghold","0x006B5B68 (   7035752)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
184,"defiledlands:forest_tenebra","Tenebra Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, SPOOKY","stronghold","0x006B5B68 (   7035752)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
185,"defiledlands:forest_vilespine","Vilespine Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, SPOOKY","stronghold","0x006B5B68 (   7035752)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
186,"defiledlands:hills_defiled","Defiled Hills",0.20,"MEDIUM",0.30,"false","false","COOL","HILLS, MOUNTAIN, SPOOKY","stronghold","0x006B5B68 (   7035752)","0xFF8AB689 (  -7686519)","0xFF6DA36B (  -9591957)"
187,"defiledlands:swamp_defiled","Defiled Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","SPOOKY, SWAMP, WET","","0x006B5B68 (   7035752)","0xFF6AC44E (  -9780146)","0xFF45B421 ( -12209119)"
188,"defiledlands:ice_plains_defiled","Defiled Ice Plains",0.00,"COLD",0.50,"false","false","ICY","COLD, SNOWY, SPOOKY, WASTELAND","stronghold","0x006B5B68 (   7035752)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
189,"environs:emerald_cliffs","Emerald Cliffs",0.40,"MEDIUM",0.50,"false","false","COOL","CONIFEROUS, MOUNTAIN","spawn, stronghold","0x003F76E4 (   4159204)","0xFF8DB878 (  -7489416)","0xFF71A556 (  -9329322)"
190,"environs:pine_taiga","Pine Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
191,"environs:pine_taiga_m","Pine Taiga M",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
192,"environs:end_forest","End Forest",0.70,"MEDIUM",0.50,"false","false","COOL","END, FOREST, MAGICAL","spawn, stronghold","0x00203980 (   2111872)","0xFF8CBD5F (  -7553697)","0xFF70AB38 (  -9393352)"
193,"environs:floating_end_forest","End Forest M",0.70,"MEDIUM",0.50,"false","false","COOL","END, FOREST, MAGICAL","spawn, stronghold","0x00203980 (   2111872)","0xFF8CBD5F (  -7553697)","0xFF70AB38 (  -9393352)"
194,"environs:silk_wetland","Silk Wetland",0.50,"MEDIUM",0.50,"false","false","WARM","MAGICAL, SWAMP","spawn, stronghold","0x002B322F (   2830895)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
195,"environs:stone_basin","Stone Basin",0.50,"MEDIUM",0.50,"false","false","WARM","PLAINS, WASTELAND","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
196,"environs:stone_hills","Stone Hills",0.50,"MEDIUM",0.50,"false","false","WARM","PLAINS, WASTELAND","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
197,"environs:tall_oak_forest","Tall Oak Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
198,"environs:tall_oak_forest_m","Tall Oak Forest M",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
199,"environs:tall_oak_wetland","Tall Oak Wetland",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP","spawn, stronghold","0x00253BA6 (   2440102)","0xFF6AC44E (  -9780146)","0x006A7039 (   6975545)"
200,"environs:roofed_swamp","Roofed Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP","spawn, stronghold","0x001D2100 (   1908992)","0xFF6AC44E (  -9780146)","0xFF45B421 ( -12209119)"
201,"environs:mushroom_rainforest","Mushroom Rainforest",0.50,"MEDIUM",0.50,"false","false","WARM","FOREST, LUSH","spawn, stronghold","0x00003B2C (     15148)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
202,"environs:overgrown_plains","Overgrown Plains",0.95,"MEDIUM",0.50,"false","false","WARM","LUSH, PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF85C149 (  -8011447)","0xFF66B11B ( -10047205)"
203,"environs:kakadu","Kakadu",0.80,"MEDIUM",0.80,"false","false","WARM","JUNGLE, LUSH, PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF72C250 (  -9256368)","0xFF4EB224 ( -11619804)"
204,"environs:lush_forest","Lush Forest",0.95,"MEDIUM",0.95,"false","false","WARM","DENSE, FOREST, JUNGLE, WET","spawn, stronghold","0x003F76E4 (   4159204)","0xFF53CA3A ( -11285958)","0xFF29BB09 ( -14042359)"
205,"environs:wasteland_spikes","Wasteland Spikes",2.00,"WARM",0.00,"false","false","DESERT","DEAD","spawn, stronghold, village","0x002B322F (   2830895)","0x008C7663 (   9205347)","0x008C7663 (   9205347)"
206,"environs:wasteland_eroded","Eroded Wasteland",2.00,"WARM",0.00,"false","false","DESERT","DEAD","spawn, stronghold, village","0x002B322F (   2830895)","0x008C7663 (   9205347)","0x008C7663 (   9205347)"
207,"environs:dry_oak_forest","Dry Oak Forest",2.00,"WARM",0.00,"false","false","DESERT","DEAD, FOREST","spawn, stronghold","0x002B322F (   2830895)","0x008C7663 (   9205347)","0x008C7663 (   9205347)"
208,"environs:dry_oak_forest_m","Dry Oak Forest M",2.00,"WARM",0.00,"false","false","DESERT","DEAD, FOREST","spawn, stronghold","0x002B322F (   2830895)","0x008C7663 (   9205347)","0x008C7663 (   9205347)"
209,"environs:sandstone_ranges","Sandstone Ranges",0.80,"MEDIUM",0.50,"false","false","DESERT","DRY, SANDY","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF8ABF57 (  -7684265)","0xFF6DAE2C (  -9589204)"
210,"environs:canyon","Canyon",1.00,"WARM",0.30,"false","false","DESERT","DRY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A9BA64 (  11123300)","0x00A9BA64 (  11123300)"
211,"environs:icy_hills","Icy Hills",-0.50,"COLD",0.50,"true","false","ICY","COLD, CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
212,"environs:cold_pine_taiga","Cold Pine Taiga",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
213,"environs:cold_pine_taiga_m","Cold Pine Taiga M",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
214,"nt:aegean_archipelago","Aegean Archipelago",0.50,"WARM",0.30,"false","false","WARM","OCEAN, WATER","spawn, stronghold","0x00002AF4 (     10996)","0xFF95B872 (  -6965134)","0xFF7AA54F (  -8739505)"
215,"nt:alium_meadow","Alium Meadow",0.80,"MEDIUM",0.40,"false","false","WARM","MAGICAL, PLAINS, RARE","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A0CA5F (  10537567)","0x00A0CA5F (  10537567)"
216,"nt:autumn_forest","Autumn Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0x008A9B37 (   9083703)","0x00ABA144 (  11247940)"
217,"nt:autumn_forest_hills","Autumn Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0x008A9B37 (   9083703)","0x00ABA144 (  11247940)"
218,"nt:birch_hills","Birch Hills",0.80,"MEDIUM",0.40,"false","false","WARM","HILLS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0085C15B (   8765787)","0x0083BF4F (   8634191)"
219,"nt:blossom_forest","Blossom Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold, village","0x001028D7 (   1059031)","0x006AD04A (   7000138)","0x00629D30 (   6462768)"
220,"nt:blossom_forest_hills","Blossom Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold","0x001028D7 (   1059031)","0x006AD04A (   7000138)","0x00629D30 (   6462768)"
221,"nt:estuary","Estuary",0.80,"MEDIUM",0.90,"false","false","WARM","RIVER, SWAMP, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0x0092B25C (   9613916)","0x00629D30 (   6462768)"
222,"nt:fen","Fen",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP, WET","spawn, stronghold","0x00253BA6 (   2440102)","0x0063A154 (   6529364)","0x0063A154 (   6529364)"
223,"nt:fungal_jungle","Fungal Jungle",0.95,"MEDIUM",0.90,"false","false","WARM","JUNGLE, MAGICAL, MUSHROOM, RARE","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0041B04E (   4304974)","0x0041B04E (   4304974)"
224,"nt:fungal_jungle_hills","Fungal Jungle Hills",0.95,"MEDIUM",0.90,"false","false","WARM","JUNGLE, MAGICAL, MUSHROOM, RARE","spawn, stronghold","0x003F76E4 (   4159204)","0x0041B04E (   4304974)","0x0041B04E (   4304974)"
225,"nt:grass_hills","Grass Hills",0.20,"MEDIUM",0.30,"false","false","WARM","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0089CE4D (   9031245)","0x0096CC68 (   9882728)"
226,"nt:green_mixed_forest","Green Mixed Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0072B04E (   7516238)","0x0072B04E (   7516238)"
227,"nt:green_mixed_forest_hills","Green Mixed Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0x0072B04E (   7516238)","0x0072B04E (   7516238)"
228,"nt:green_swamp","Green Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP","spawn, stronghold","0x0009233B (    598843)","0x0074A34C (   7643980)","0x0074A34C (   7643980)"
229,"nt:heath","Heath",0.90,"MEDIUM",0.50,"false","false","WARM","PLAINS, SAVANNA","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF87C04D (  -7880627)","0x00AFC568 (  11519336)"
230,"nt:highland","Highland",0.70,"MEDIUM",0.20,"false","false","WARM","HILLS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0094BB50 (   9747280)","0x0091BD44 (   9551172)"
231,"nt:hills","Hills",0.70,"MEDIUM",0.30,"false","false","WARM","HILLS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0076B263 (   7778915)","0x006BA157 (   7053655)"
232,"nt:hotspring","Hot Spring",1.00,"WARM",0.50,"false","false","WARM","WET","spawn, stronghold","0x00001F03 (      7939)","0x007F9644 (   8361540)","0x007F9644 (   8361540)"
233,"nt:lake","Lake",0.80,"MEDIUM",0.40,"false","false","WARM","CONIFEROUS, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
234,"nt:lowland","Lowland",0.40,"MEDIUM",1.00,"false","false","WARM","CONIFEROUS, WET","spawn, stronghold","0x003F76E4 (   4159204)","0x007ABD6D (   8043885)","0x004DB23C (   5091900)"
